component,explained_variance_ratio,explained_variance_ratio_cum
PC1,0.22006218100250707,0.22006218100250707
PC2,0.12558406980793854,0.34564625081044564
PC3,0.09938149054168183,0.44502774135212747
PC4,0.0888488361065089,0.5338765774586364
PC5,0.06836075759415033,0.6022373350527868
PC6,0.06377516828478369,0.6660125033375704
PC7,0.05295487018060521,0.7189673735181756
PC8,0.04041005017213502,0.7593774236903107
PC9,0.032119294945358895,0.7914967186356696
PC10,0.03007075496502053,0.8215674736006902
PC11,0.02675634468974144,0.8483238182904316
PC12,0.023407360506954675,0.8717311787973863
PC13,0.021084749177476506,0.8928159279748628
PC14,0.016477980534543284,0.9092939085094061
PC15,0.013818940536381292,0.9231128490457874
PC16,0.012748876692566429,0.9358617257383538
PC17,0.011228923390631928,0.9470906491289858
PC18,0.007921877959264932,0.9550125270882507
PC19,0.006618113329001403,0.9616306404172521
PC20,0.0063065505620865355,0.9679371909793386
PC21,0.005148814604167682,0.9730860055835063
PC22,0.004567276918773824,0.9776532825022801
PC23,0.003846163786184118,0.9814994462884642
PC24,0.00350858966955107,0.9850080359580152
PC25,0.0025730046692136617,0.9875810406272288
PC26,0.0018918439971172443,0.9894728846243461
PC27,0.0016347722428507285,0.9911076568671968
PC28,0.0014773541043667546,0.9925850109715636
PC29,0.0013472545363924393,0.993932265507956
PC30,0.0011522027836718388,0.9950844682916278
PC31,0.000888221689105757,0.9959726899807335
PC32,0.0006561200275879262,0.9966288100083215
PC33,0.000567567301402824,0.9971963773097243
PC34,0.0005188367194083821,0.9977152140291327
PC35,0.0004033200381188633,0.9981185340672515
PC36,0.00035466625739484904,0.9984732003246464
PC37,0.0002573877767150461,0.9987305881013614
PC38,0.00023450537288860726,0.99896509347425
PC39,0.00021239389469366915,0.9991774873689436
PC40,0.00017880685967468053,0.9993562942286183
PC41,0.0001450840453908694,0.9995013782740091
PC42,0.00012127088183958419,0.9996226491558486
PC43,0.0001118244046087006,0.9997344735604573
PC44,9.01609765789099e-05,0.9998246345370362
PC45,7.552451601922379e-05,0.9999001590530554
PC46,6.189379774703336e-05,0.9999620528508024
PC47,3.794714919724018e-05,0.9999999999999997
PC48,2.786530965074811e-17,0.9999999999999997
PC49,1.9590612200416065e-17,0.9999999999999997
PC50,1.8883678424681976e-17,0.9999999999999997
PC51,1.471429847646867e-17,0.9999999999999997
PC52,1.1523975485642371e-17,0.9999999999999997
PC53,1.1126012414812013e-17,0.9999999999999997
PC54,8.65567532243847e-18,0.9999999999999997
PC55,8.209837784607392e-18,0.9999999999999997
PC56,8.032606458499169e-18,0.9999999999999997
PC57,5.865785437396283e-18,0.9999999999999997
PC58,4.8955546416496385e-18,0.9999999999999997
PC59,4.267211741877034e-18,0.9999999999999997
PC60,4.200085463622476e-18,0.9999999999999997
PC61,3.3076536697502725e-18,0.9999999999999997
PC62,2.7558117625499412e-18,0.9999999999999997
PC63,2.1900223677602956e-18,0.9999999999999997
PC64,1.4366274544207093e-18,0.9999999999999997
PC65,7.662141356250557e-19,0.9999999999999997
PC66,6.675439094697107e-19,0.9999999999999997
PC67,2.6081622841931205e-19,0.9999999999999997
PC68,0.0,0.9999999999999997
PC69,0.0,0.9999999999999997
PC70,0.0,0.9999999999999997
PC71,0.0,0.9999999999999997
PC72,0.0,0.9999999999999997
PC73,0.0,0.9999999999999997
PC74,0.0,0.9999999999999997
PC75,0.0,0.9999999999999997
PC76,0.0,0.9999999999999997
PC77,0.0,0.9999999999999997
PC78,0.0,0.9999999999999997
PC79,0.0,0.9999999999999997
PC80,0.0,0.9999999999999997
PC81,0.0,0.9999999999999997
PC82,0.0,0.9999999999999997
PC83,0.0,0.9999999999999997
PC84,0.0,0.9999999999999997
PC85,0.0,0.9999999999999997
PC86,0.0,0.9999999999999997
PC87,0.0,0.9999999999999997
PC88,0.0,0.9999999999999997
PC89,0.0,0.9999999999999997
PC90,0.0,0.9999999999999997
PC91,0.0,0.9999999999999997
PC92,0.0,0.9999999999999997
PC93,0.0,0.9999999999999997
PC94,0.0,0.9999999999999997
PC95,0.0,0.9999999999999997
PC96,0.0,0.9999999999999997
