,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96
05_Q1_CDD,0.03755257581094657,0.09806309994355136,-0.1278965806594629,-0.030248315246072428,-0.17830206275855032,0.010594608218543149,0.03077030216270666,-0.11769135729182438,-0.09901848588995456,0.23984582564225893,-0.09677102503837165,0.13131030814339437,0.18652657676405482,-0.1040570378335163,0.0768024177091911,-0.07576234532087615,0.07729355701261582,0.02093360312905181,0.1579094122453913,-0.04156018180449695,-0.06432060477790948,-0.1081324847066095,0.2946930629939051,0.553703667470885,-0.24980240932696016,0.3405799922142527,-0.010546637250093586,0.2925200123778458,0.17990028833940963,-0.003630471865576764,-0.04322002190562744,0.05417496158073023,0.0771606311436011,0.02842028488907944,-0.0691406532934711,-0.007793875427698949,0.10611949060621259,0.018289878891502888,0.008362616763309846,-0.04212363893330544,-0.0028372334256844627,0.0026554154113251913,0.021008660634000042,-0.000563862669494926,-0.06235625562392227,0.00805355843893502,-0.01559170214514421,-1.4137516206213844e-11,-5.01924890273152e-11,2.5950024277806905e-11,-5.220488189693879e-11,-0.0,3.3602258804658924e-11,-0.0,-6.403919215189097e-11,0.0,-8.252926049995756e-11,-0.0,0.0,-0.0,0.0,9.990264384290504e-11,-0.0,-0.02268907795048174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-6.924679482458638e-11,-0.0,0.0,-0.0,5.999840306970543e-11,0.0,2.675396685666127e-11,-0.0,-6.481682465182383e-11,-2.561137630345215e-11,-0.0,1.1754616678025145e-11,-3.385049081529035e-11
05_Q2_CDD,0.12563213591646577,0.017769891284808714,0.09326906093625215,0.021323435791499645,0.009077393918014154,-0.06992969008450299,-0.16729173472222925,-0.035725383425065746,-0.21763859655082918,-0.18956051776915162,-0.07501717207260823,-0.05562860453722121,-0.14322556749323961,-0.04430176244228361,-0.11892399919227666,0.05689487076732172,-0.11908275819270536,0.1087454745885393,0.14338967349334392,0.11483332671677327,0.168980279154409,-0.10563690636969147,0.40148722968746076,-0.30257303983252287,0.13051381628743158,-0.004494460624303864,0.31036610539233067,0.3308283368681011,0.317830922912526,0.015389511806701582,0.10332702712871478,-0.08727762773318726,-0.10692832703470372,-0.08387940352533421,-0.16822731110207917,0.1903589683997437,-0.01876998383601851,-0.02530649815316159,-0.005981151547527758,-0.04140573477737903,-0.010516646967107836,0.033648080520558635,0.01937517466889025,-0.06823597098223849,-0.01108510292912486,-0.040867440755930316,0.02082405661684003,-0.0009603090223003579,-0.003940588792462545,0.04814964224910525,-0.005497919847597637,-0.012231585518468138,0.026058061952077584,-0.001555618600012948,0.0032946315457406854,-0.025193436319223435,0.0139902193389623,-0.028108722430179527,-0.04849691118677396,-0.013164134945909588,0.041732344213017754,0.005502990146391636,0.004257109249649118,-2.8532827142657702e-11,0.01452085725033857,0.03009313678306142,-0.0049084515404722575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013967398186784023,-0.012283407044186293,0.02435471228808625,0.017369750491455067,-0.032955740878656166,0.013217275130622519,0.0021544813711874868,0.02898408501766086,0.0457995042778408,0.0017691212439388715,-0.0356767036959981,-0.01884818893911698,0.024742603120730764,-0.00048493084833620413,0.0001727801055794743,-0.03931154793196438,0.02179084746755421
06_Q1_CDD,0.05428256893869465,0.036571228644139225,0.11617426201521726,-0.16908618083019478,0.0001398750007898797,0.11403640899215625,-0.27597069167538235,-0.014765926856451783,-0.008285681828589797,0.1602397211985347,-0.08191832165947077,-0.00692243603522133,-0.052733678021428046,0.06437448490200419,-0.005288467377462379,-0.03551216469744871,0.29172115706683055,0.018443790240882305,0.07437818478174499,0.004687227108422422,0.14698449225848342,0.09764485288199608,0.04018569626313722,-0.02845796720145817,-0.15151646271042027,-0.0428695256957673,0.28213285018933393,-0.06934990541746407,0.08080853956833012,0.2610824991556999,0.008930722036472927,-0.1447602920689181,-0.036769775172945426,0.27227842067684327,0.311493733896919,-0.3761268169329669,-0.18147030720682458,0.00931117225003864,-0.054874045220886604,0.026951373985093525,0.1423268237783923,0.06987880759114981,-0.10629864431162836,0.026858456555192405,0.021626561186895005,-0.10064564647290544,-0.049703011550727906,-0.00010201454388814136,-0.09923603266830003,0.04939760737713791,0.057360897249579816,-0.016797721076244443,0.060118716350620646,-0.04712643935273279,0.11335830775362206,-0.029964369158360746,-0.14856664687192372,0.06854789135441473,0.0398030250860488,-0.0072234352532411505,0.02828348265661999,-0.01651726194040934,0.0038028085503062636,5.317090552570125e-10,0.004424420489475352,0.0048453502377268,-0.0031461512567728936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01121128767545569,0.007905509496744475,0.0035013796612185077,-0.03640944779939973,-0.016019892316040375,0.048346355402801786,-0.029065519377788045,0.04756238254278893,-0.00346918071025486,0.00849332805114578,0.021401469067610163,0.13148247864225354,0.004126621779981577,-0.040786502594709645,0.032995145053855035,-0.004812498889679703,0.015017667402272948
06_Q2_CDD,0.08327105732407569,-0.20279720655741096,0.09738587543286448,-0.052629677230994834,-0.06315450901415569,0.005044662980577669,0.0730055787761057,0.023912962830809625,-0.10198541073797793,0.02628770413135567,-0.12714241071806284,-0.10239658369321106,0.018948030572131347,0.12468369669135973,0.281696318145795,-0.17749246518303896,-0.014452557541455038,-0.0022263863967490393,-0.011599399918412169,-0.146403869353938,-0.018671708858999325,0.02198469858623786,-0.017875475221321987,0.10583087701031485,0.22715547889540771,0.22711643471651538,0.20343429321245052,-0.22546053733261506,-0.056981980808217536,0.12228206535511377,0.1510759985456422,-0.2020815669058167,0.15530034133973947,-0.2061992868271127,-0.25934874833996013,-0.010886762661127241,-0.22953385045545785,-0.05103796643300278,0.05645271547228559,0.03278485989380369,-0.011880946931434037,-0.0031328621675676873,-0.07068551656445633,-0.08970417382740434,0.02597439178648646,0.08683969876297375,-0.05016155923473396,0.04633481194829839,0.010971602641660376,-0.08320969093244289,0.033394814138654576,0.002299632400790392,-0.005657011142981916,-0.13882091744761027,-0.0792894806072963,0.10039238253114574,-0.005480376526588579,0.11038443533121604,0.03295422674766045,0.0329075379859004,0.03027572989944864,0.030152181762083088,-0.10518617904611383,-4.067242757865852e-10,-0.03496551602155258,0.036659956270133916,-0.03380168919090446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09341406271270729,-0.031090362647080528,0.06736420114130379,-0.07775027457832587,-0.06983822221254943,-0.07994490730261224,0.02098153168993296,0.06340750356867315,-0.10050545873000809,0.06339016863456862,0.042784676596137494,-0.025376953871874178,0.12756354597515118,0.16643257412437623,0.06599065769628268,-0.10999547680667648,0.21537871504674977
07_Q1_CDD,0.15408221291188753,-0.07183561554485152,0.06986812027024752,0.03439348781326865,-0.03934400182702691,-0.2146855237873206,-0.05866517909958451,0.11834982849398085,-0.04784598870439122,0.17405092972883615,0.017612593706382615,-0.02443127969931433,0.04074988646242478,-0.018427637062789395,-0.0913018529694355,0.11200581154832241,-0.06470887959009876,-0.020956957026576767,-0.013697710450700964,-0.040218725253097415,-0.05981015724884857,-0.03698479992305494,-0.037320963479601316,-0.1005229833059018,0.060536168528498156,0.000480616126593586,-0.08268182276860993,0.19755021647484095,-0.012488896991567563,0.13010873866396303,0.01436382921941469,0.21265423545414985,0.2897149633450466,-0.13850427922743108,0.08098721111834623,-0.16141691450335008,-0.08738858753564306,-0.04044651413750944,0.05778429838542278,0.15966561900290344,-0.03597708648462219,-0.03106797656042479,-0.05631212850748314,0.061333646502200204,-0.0507791038244193,-0.037563129224059556,-0.0007719240143748175,0.3749214231582412,0.3815193606656013,-0.032259348637274476,0.10147209743530937,-0.2095965798509751,-0.02493565082523144,0.16107833159161958,-0.12999966718218023,-0.11631803644201608,-0.14566765483034516,0.02888492418471874,0.04988393450075629,-0.06473928476658962,-0.04778818870499497,0.02785495953683036,-0.03376962184958579,-5.274364105189999e-10,0.07866159790067524,-0.01778438690864889,0.030097693602991835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007153965913218005,0.05135162037124229,-0.1015520322719531,0.02767917709860311,-0.13950114714190265,0.06655621737509294,-0.04437331226949243,0.05088353943078829,0.024159278019566095,-0.08148646713068466,0.031033409434085626,0.1237108471158347,0.11190500213156732,-0.03674386597885545,0.005899205089705726,-0.047955411899562546,-0.031567029320066234
07_Q2_CDD,0.09860115442747909,0.09596510246222845,0.03410291064802817,-0.21195932654845007,-0.19811768380228784,-0.10920827844696131,0.08188061688614677,-0.007711317956224151,-0.010948356089432273,-0.08278263269543167,-0.042564002807257015,0.0445661459977645,-0.008987395245640767,-0.09123787241341551,0.06831176612134493,0.0759613414067438,-0.03010071206343931,-0.05170228668099493,-0.043056018941294155,-0.010259874802592495,-0.0032842444202305643,0.08296844295488852,0.10349334642024911,-0.12369799122746,0.07314903259940599,0.21643039882716544,-0.0004956547787313649,-0.17884662181107688,-0.022080398531715797,-0.03181315630275507,-0.031515682394499776,0.28586870682809445,-0.15236815255285116,0.022673742334904434,0.0495499189773058,-0.05602696302433781,0.0006927404158652006,0.016261842666370662,-0.0345223205425092,-0.03553783558682868,0.11697170072843428,0.05319846489487547,0.032915747623786754,-0.04050527170287013,-0.021468160143127565,0.01308445939984643,0.01908728492258872,-0.03487704789084155,0.18652301651653647,0.024825041578294803,-0.0532415618671558,0.04093662673180587,0.0994263838480752,-0.19711293329253923,0.08633040086636619,-0.2731468987287772,-0.03392393308458266,0.05199424515615476,0.03404330569297184,-0.15727883958280495,-0.036884967264575866,-0.06891897390435621,0.12597286501282406,-9.004116202637746e-11,-0.1036058107943586,-0.05932568430090479,-0.23857702771752676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019308572109064458,-0.004218996845015244,0.00454053470753236,-0.04410871748421189,0.07828184910272037,-0.12498487631870381,-0.03139273887869862,0.014735220832429202,0.0367006582063946,0.08157689633614093,0.3405185434465955,-0.20991438261291545,0.0471377762485254,-0.16184546134826774,-0.2492742644242072,-0.07027447241280248,0.07087173494228921
08_Q1_CDD,0.19491481033723546,0.020806743028645394,-0.10713280298743105,0.05123830363962348,0.07751441116194435,0.012355611793628861,-0.03365861513230888,-0.10529164972714494,0.030069899417368998,0.026822326740168267,-0.018569848247760368,0.08893252038618828,0.02167603174942891,-0.1329811968711018,-0.041066616435835576,-0.03282187364921975,-0.09917705517258218,-0.02486602142748679,0.04626343564657334,0.03264957998415799,-0.05911118745739464,0.004481723381888694,-0.17232826557682107,-0.04616448854376612,-0.14911203708573506,0.14800537337663883,0.07997932837204172,0.052842953876072796,-0.16817884367403757,0.1963374889850744,0.13157130296138267,-0.040235549997889426,-0.07654549816451268,-0.15203042459920743,0.24594000859555243,0.31629022904967047,-0.1434066919190507,0.13040441326668836,-0.1242685665870703,-0.033367438145853676,0.03566493924007854,0.09085763671361577,0.0003107138681743074,-0.022936493567257465,0.016312152404336852,0.05946458214800776,-0.06734160930687186,0.0860191583353484,-0.23570965576749095,0.11972428381009415,-0.033104706910793764,-0.01695036518139068,0.17260533683336518,0.22490539529920192,-0.12714293171553429,0.09046445668127658,0.08613970456951113,0.012557418354538259,-0.014793062144968276,-0.04329504327567173,-0.16426323978763765,-0.07250047366424787,0.03307494243621252,6.714485356607014e-10,-0.011766849003310674,-0.07861950227095972,-0.16779580954060647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1273233625808891,-0.13037799523034582,-0.0869268144625485,-0.07328995336957772,0.03842912144902048,-0.06106041758889674,-0.023625940605780306,-0.05144467274601835,0.06687710613083582,0.07438148199158831,0.122809867737242,0.049874086278270786,0.27300445677584007,0.01225610192594192,0.07023016992197975,-0.05370536627588051,-0.1506261896668431
08_Q2_CDD,0.12947726018990896,0.0408672545619477,0.04651476252527881,0.08511945053244596,0.061359097524639,0.25733672395312207,0.1308585921615544,0.005887453347375615,0.09974612377638854,-0.03515732671043699,-0.09314620804530337,-0.11314653767110427,0.0466213365024688,0.0015909159749670498,-0.13841556368839347,-0.019548862032193054,0.013414395684233398,0.07778242181584209,-0.03544667457750229,0.10889925979752348,-0.10376112991453545,0.010104302742645663,0.02167137528419394,0.09433616262044237,0.2849659813171594,0.08977996002611988,0.05074204385985472,0.03483311441119308,0.034047465530205004,0.034879676162040824,0.3122942738411123,0.01695569021990588,-0.12527117321416398,-0.12925641399881746,0.2038086779099954,-0.19055957075165303,0.3155658541537825,0.0520561968718634,0.13915397337117544,-0.021993188898813007,0.03781659674105869,-0.1026008170097459,-0.06228050902800201,0.16795469605029087,-0.012610913916995634,0.06472988366748013,0.0008301867062602691,-0.09315583232768077,-0.10300445239892929,0.08248133084379243,-0.23859499821884475,-0.050500492790305336,-0.15952323908936797,0.14589746816630678,-0.06342026596873258,-0.060331144816843055,-0.05550928256196202,0.0527129125909681,0.09738128732015054,-0.022589162335209478,-0.03887724894287985,0.006265423185661993,-0.059218812583137485,7.374498997569923e-10,0.06470054510655784,-0.03556580525956111,-0.10609788186613306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003815665072961688,0.08685728607147465,-0.11738252416041535,-0.02663899907917054,-0.02137080612400117,0.10250018210462433,-0.05544623960249806,0.06325126242654121,-0.06619099067622737,-0.10963425769997553,-0.055155951084289265,-0.07900353955089083,0.04451721145541894,-0.08436188260255473,-0.02102998557416145,0.03566484237479763,0.25070146531889864
09_Q1_CDD,0.06643687654331859,-0.16989782803423076,-0.13640248432512267,-0.06782986587925133,0.09083035027090688,-0.07918479419267463,-0.05182929950243603,-0.1540204329280322,0.13578776540797616,-0.058861976761451384,-0.09817596285718355,-0.19066453074775758,0.08793210810860541,0.02917021696700353,0.053507599535778994,-0.06817274219572425,-0.16660251343713722,-0.14138808236315742,0.05396342933765376,0.09896120560101421,-0.028638456241537387,-0.04008778214070588,0.08738207768515552,-0.08247685206476435,0.0436886200303659,0.13296800727472158,0.07579103131792024,0.001828086088575584,-0.06269225919904227,-0.35011434159980226,0.24646029900418806,0.011318928453634039,0.37827147913437575,0.4276955513410224,0.1551139775475029,0.0088778653104011,0.012850990358606845,-0.005112129343223196,-0.21889416833286154,-0.06151103722111029,-0.08971720418090331,-0.06169311643438005,0.03940002646161117,0.03263193675076606,0.09254233309503103,-0.025427781145120905,0.04932034703214597,0.0157375935628906,0.054889102183852914,-0.053704058216588614,-0.17443888886017403,0.05610393906994496,0.08418187533489355,0.06991137960386576,0.09270332692264126,-0.04304828802819035,-0.005545830508034049,0.012145924311186773,-0.004246783851112082,0.0030805956800842894,-0.013110792153197803,0.008478542272549032,-0.009402274948849647,-2.379437757937808e-10,-0.012942802620233639,0.04918455831895345,-0.0060283781376360805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03501054162084313,-0.04833190784098964,0.03640991498613452,-0.010435066178993233,-0.030615915327312358,-0.04052372218493848,0.0003714602871371913,0.03121081107952781,-0.09051131694666067,0.033118927836628204,-0.06114698896681185,0.07011413010636307,0.027389722003975155,0.06345381781760515,-0.048002725597799126,0.01930254895607298,-0.033965496878726
09_Q2_CDD,-0.12309643318060408,-0.11448571053183575,-0.08087110196223264,-0.13533035991146958,0.06378074830437364,-0.02882344603369278,0.05125195675284269,-0.0897787946307993,-0.08956738353870722,-0.15316552345208542,-0.2645751047016842,0.03802284735925793,0.010882688350794104,0.0027453356623966807,-0.0027395465444265132,-0.0517474399810296,0.05382981025715444,0.18084885477919224,0.010734550907834012,-0.020245935857088962,-0.11735592039530798,0.04291093108412691,0.012583658839222384,0.1203503413379402,-0.08205110734998629,-0.25815796060660745,0.13935946847796765,-0.15609092236523475,0.27724479125506174,-0.35227646525662315,-0.10372225874226121,0.12659282771711372,0.13218105775977523,-0.4235566308154348,0.3320915626441948,0.025476495184625955,-0.18394565535676108,0.06445598498518415,-0.06320543919138283,0.01644859061907001,0.031799774106198136,0.019219108462298747,-0.0762280151027323,0.09434756917670846,-0.14039466066494793,-0.041941895634949114,0.06901932402694529,-0.049789128001920514,0.06190462375779436,0.04324398658807497,0.015517755553550956,0.03931406410577637,0.04811192384178544,0.026177194991458076,-0.007983178128438727,0.027963642048964676,0.01117366094934171,0.00716896488990635,0.024240410150347006,0.016964056109253875,-0.017769801184011516,-0.0033468885488931776,-0.030703664167125003,2.1201559258221536e-10,0.01235364216259623,-0.011979707076463009,0.0031494726057611153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013932894281700914,0.002257507351055354,-0.008814380765608303,0.004092945813025136,0.018717784640111965,0.03586967666351658,-0.0163009265807301,0.0331693490716443,0.01341188746385172,0.018645211832864286,0.012985402004986574,0.011024335237275494,-0.027787493429720127,0.012690520750081325,0.0030374243915363627,-0.012393730325070362,0.015026486065120685
