Municipality,Year,YieldPortfolio
ALEXANDER,1996,0.8819752744948882
ALEXANDER,1997,1.0250253904006885
ALEXANDER,1998,0.8221301882300572
ALEXANDER,1999,1.0750267758301544
ALEXANDER,2000,0.7236690659143397
ALEXANDER,2001,0.7609417809856063
ALEXANDER,2002,1.052398658575202
ALEXANDER,2003,1.5127120259655615
ALEXANDER,2004,1.1965310131968596
ALEXANDER,2005,0.4313282621706346
ALEXANDER,2006,1.5463462783729787
ALEXANDER,2007,0.7662193723228711
ALEXANDER,2008,1.5629498817869145
ALEXANDER,2009,0.9500530945961668
ALEXANDER,2010,0.8691969056540709
ALEXANDER,2011,1.043475684301261
ALONSA,1996,0.7644052027836119
ALONSA,1997,0.6091731382321035
ALONSA,1998,0.6711638632126895
ALONSA,1999,0.6669972133677914
ALONSA,2000,1.124610696195376
ALONSA,2001,0.815103567661396
ALONSA,2002,0.7710839593766362
ALONSA,2003,0.7909408666987519
ALONSA,2004,1.1273774035213278
ALONSA,2005,1.1817364030040889
ALONSA,2006,1.0860053250081199
ALONSA,2007,0.9435502204830811
ALONSA,2008,0.9979249787138008
ALONSA,2009,0.9952583506512077
ALONSA,2010,0.9122441995120891
ALONSA,2011,0.7822553070618281
ARGYLE,1996,2.135351286183536
ARGYLE,1997,2.3097100434898006
ARGYLE,1998,2.8040095137071175
ARGYLE,1999,2.3991764617819884
ARGYLE,2000,2.437978623251561
ARGYLE,2001,2.595898663622092
ARGYLE,2002,2.223526747986458
ARGYLE,2003,3.078059025142556
ARGYLE,2004,3.5237075414973105
ARGYLE,2005,3.2872508749228544
ARGYLE,2006,3.718565361952404
ARGYLE,2007,3.7822826116467834
ARGYLE,2008,4.943066028386158
ARGYLE,2009,3.504373912547417
ARGYLE,2010,5.024896650982983
ARGYLE,2011,3.415880751702209
ARMSTRONG,1996,0.22982216811344264
ARMSTRONG,1997,0.1451734020016111
ARMSTRONG,1999,0.24043854255834402
ARMSTRONG,2000,0.6312383909681134
ARMSTRONG,2001,0.7498606689946756
ARMSTRONG,2002,0.5717099425588014
ARMSTRONG,2003,0.2644511407833686
ARMSTRONG,2004,0.880901276043808
ARMSTRONG,2005,0.9257742377052381
ARMSTRONG,2006,0.9848696401898124
ARMSTRONG,2007,0.9075715743708882
ARMSTRONG,2008,0.7429887609924838
ARMSTRONG,2009,0.3622890245894903
ARMSTRONG,2010,0.4796880141600574
ARMSTRONG,2011,0.36714161944890855
BIFROST-RIVERTON,1996,1.9874881469728054
BIFROST-RIVERTON,1997,3.276003126365697
BIFROST-RIVERTON,1998,3.474062723220233
BIFROST-RIVERTON,1999,3.7542899020783005
BIFROST-RIVERTON,2000,2.954532423492648
BIFROST-RIVERTON,2001,2.0098624698186383
